EmployeeNumber,Age,Tenure,Turnover,HourlyRate,HoursWeekly,CompensationType,AnnualSalary,DrivingCommuterDistance,JobRoleArea,Gender,MaritalStatus,NumCompaniesPreviouslyWorked,AnnualProfessionalDevHrs,PaycheckMethod,TextMessageOptIn,TextMessageOptInMissingFlag,TextMessageOptIn_bool,TextMessageOptIn_filled,DevHoursMissingFlag,AnnualProfessionalDevHrs_imputed_median,NumCompaniesMissingFlag,AnnualSalaryCorrected,DrivingCommuterDistanceImputedFlag,DrivingCommuterDistanceOutlierFlag
932,34,5,Yes,30.52,40.0,Salary,63481.6,49.0,Research,Female,Married,6,10.0,Mailed Check,Yes,0,1.0,Yes,0,10.0,0,0,1,0
933,59,7,Yes,57.91,40.0,Salary,120452.8,38.0,Healthcare,Female,Single,4,7.0,Mailed Check,Unknown,1,,Missing,0,7.0,0,0,0,0
934,25,2,No,21.46,40.0,Salary,44636.8,28.0,Information Technology,Female,Single,2,14.0,Direct Deposit,Yes,0,1.0,Yes,0,14.0,0,0,0,0
935,50,11,No,64.08,40.0,Salary,133286.4,20.0,Manufacturing,Male,Divorced,6,12.0,Mailed Check,Yes,0,1.0,Yes,0,12.0,0,0,0,0
936,37,7,No,29.95,40.0,Salary,62296.0,73.0,Laboratory,Male,Married,4,17.0,Mailed Check,Yes,0,1.0,Yes,0,17.0,0,0,0,0
937,54,18,No,90.17,40.0,Salary,187553.6,250.0,Human Resources,Female,Married,8,0.0,Mailed Check,Yes,0,1.0,Yes,1,15.0,0,1,0,0
938,57,12,No,46.48,40.0,Salary,96678.4,56.0,Information Technology,Female,Divorced,6,22.0,Mailed Check,Yes,0,1.0,Yes,0,22.0,0,0,0,0
939,37,6,Yes,42.9,40.0,Salary,89232.0,49.0,Research,Female,Divorced,3,24.0,Mailed Check,Yes,0,1.0,Yes,0,24.0,0,0,1,0
940,44,5,No,53.17,40.0,Salary,110593.6,74.0,Marketing,Male,Married,4,0.0,Mailed Check,Yes,0,1.0,Yes,1,15.0,1,0,0,0
941,30,2,Yes,23.93,40.0,Salary,49774.4,13.0,Laboratory,Male,Divorced,1,20.0,Mailed Check,Yes,0,1.0,Yes,0,20.0,0,0,0,0
942,50,19,Yes,39.58,40.0,Salary,82326.4,49.0,Research,Female,Divorced,8,13.0,Mailed Check,Yes,0,1.0,Yes,0,13.0,0,0,1,0
943,47,5,No,64.68,40.0,Salary,134534.4,73.0,Manufacturing,Male,Single,1,15.0,Mailed Check,No,0,0.0,No,0,15.0,0,0,0,0
944,43,2,No,89.24,40.0,Salary,185619.2,49.0,Manufacturing,Female,Single,4,5.0,Mailed Check,Yes,0,1.0,Yes,0,5.0,0,1,1,0
945,21,1,Yes,20.09,40.0,Salary,41787.2,79.0,Laboratory,Male,Married,1,25.0,Mailed Check,Yes,0,1.0,Yes,0,25.0,0,0,0,0
946,57,11,No,38.55,40.0,Salary,80184.0,55.0,Manufacturing,Female,Divorced,3,16.0,Mailed Check,Yes,0,1.0,Yes,0,16.0,0,1,0,0
947,61,17,No,65.37,40.0,Salary,135969.6,59.0,Information Technology,Male,Divorced,4,14.0,Mailed Check,Yes,0,1.0,Yes,0,14.0,1,0,0,0
948,38,3,No,57.21,40.0,Salary,118996.8,9.0,Laboratory,Male,Single,5,0.0,Mailed Check,Yes,0,1.0,Yes,1,15.0,0,1,0,0
949,33,1,Yes,26.31,40.0,Salary,54724.8,49.0,Healthcare,Male,Single,5,19.0,Direct Deposit,No,0,0.0,No,0,19.0,0,0,1,0
950,39,5,Yes,64.85,40.0,Salary,134888.0,77.0,Sales,Female,Divorced,4,0.0,Mailed Check,Yes,0,1.0,Yes,1,15.0,0,0,0,0
951,40,3,Yes,29.0,40.0,Salary,60320.0,11.0,Human Resources,Male,Single,5,12.0,Mailed Check,No,0,0.0,No,0,12.0,0,0,0,0
952,36,5,Yes,73.54,40.0,Salary,152963.2,76.0,Marketing,Male,Divorced,4,0.0,Mailed Check,Yes,0,1.0,Yes,1,15.0,0,0,0,0
953,57,13,No,50.43,40.0,Salary,104894.4,250.0,Research,Male,Single,7,20.0,Mailed Check,Yes,0,1.0,Yes,0,20.0,0,0,0,0
954,38,3,No,33.31,40.0,Salary,69284.8,55.0,Sales,Male,Single,2,0.0,Mailed Check,Yes,0,1.0,Yes,1,15.0,0,0,0,0
955,41,5,No,66.03,40.0,Salary,137342.4,250.0,Information Technology,Female,Married,4,9.0,Direct Deposit,Yes,0,1.0,Yes,0,9.0,0,0,0,0
956,42,5,No,97.04,40.0,Salary,201843.2,33.0,Laboratory,Female,Divorced,7,0.0,Direct Deposit,No,0,0.0,No,1,15.0,0,1,0,0
957,60,15,No,92.82,40.0,Salary,193065.6,77.0,Sales,Male,Divorced,8,6.0,Mailed Check,Yes,0,1.0,Yes,0,6.0,0,1,0,0
958,31,9,Yes,23.78,40.0,Salary,49462.4,6.0,Manufacturing,Female,Single,2,0.0,Mailed Check,No,0,0.0,No,1,15.0,0,0,0,0
959,49,8,No,58.8,40.0,Salary,122304.0,27.0,Information Technology,Female,Married,6,8.0,Mailed Check,Yes,0,1.0,Yes,0,8.0,0,0,0,0
960,39,2,No,30.45,40.0,Salary,63336.0,88.0,Healthcare,Female,Married,5,0.0,Mailed Check,Yes,0,1.0,Yes,1,15.0,0,0,0,0
961,23,1,No,21.87,40.0,Salary,45489.6,1.0,Healthcare,Male,Married,1,23.0,Mailed Check,Yes,0,1.0,Yes,0,23.0,0,0,0,0
962,59,5,No,33.05,40.0,Salary,68744.0,32.0,Healthcare,Female,Married,7,23.0,Mailed Check,No,0,0.0,No,0,23.0,0,1,0,0
963,56,7,Yes,39.44,40.0,Salary,82035.2,250.0,Research,Male,Married,1,21.0,Mailed Check,No,0,0.0,No,0,21.0,0,0,0,0
964,51,5,No,67.33,40.0,Salary,140046.4,44.0,Laboratory,Female,Divorced,4,8.0,Mailed Check,Yes,0,1.0,Yes,0,8.0,0,1,0,0
965,57,16,No,63.74,40.0,Salary,132579.2,78.0,Human Resources,Male,Married,9,24.0,Mailed Check,Yes,0,1.0,Yes,0,24.0,0,0,0,0
966,44,17,Yes,35.71,40.0,Salary,74276.8,60.0,Information Technology,Male,Divorced,2,7.0,Mailed Check,Yes,0,1.0,Yes,0,7.0,0,0,0,0
967,40,6,No,26.8,40.0,Salary,55744.0,53.0,Sales,Female,Divorced,2,0.0,Mailed Check,Unknown,1,,Missing,1,15.0,0,0,0,0
968,54,10,No,32.78,40.0,Salary,68182.4,15.0,Sales,Male,Single,4,0.0,Mailed Check,Yes,0,1.0,Yes,1,15.0,0,1,0,0
969,37,8,No,40.28,40.0,Salary,83782.4,78.0,Sales,Female,Married,6,16.0,Mailed Check,Yes,0,1.0,Yes,0,16.0,0,0,0,0
970,46,8,Yes,88.56,40.0,Salary,184204.8,4.0,Information Technology,Female,Divorced,2,25.0,Mailed Check,Yes,0,1.0,Yes,0,25.0,0,1,0,0
971,35,1,No,29.72,40.0,Salary,61817.6,33.0,Information Technology,Male,Single,5,14.0,Mailed Check,Yes,0,1.0,Yes,0,14.0,0,1,0,0
972,22,1,Yes,21.16,40.0,Salary,44012.8,36.0,Laboratory,Male,Married,2,23.0,Mailed Check,Yes,0,1.0,Yes,0,23.0,0,0,0,0
973,58,7,No,70.4,40.0,Salary,146432.0,1.0,Research,Female,Single,8,17.0,Direct Deposit,Unknown,1,,Missing,0,17.0,0,0,0,0
974,53,12,No,40.4,40.0,Salary,84032.0,13.0,Manufacturing,Female,Divorced,5,8.0,Mailed Check,Yes,0,1.0,Yes,0,8.0,0,0,0,0
975,56,13,No,86.83,40.0,Salary,180606.4,15.0,Manufacturing,Female,Divorced,4,10.0,Mailed Check,Yes,0,1.0,Yes,0,10.0,1,1,0,0
976,47,8,Yes,34.39,40.0,Salary,71531.2,85.0,Information Technology,Male,Divorced,5,22.0,Direct Deposit,Yes,0,1.0,Yes,0,22.0,0,0,0,0
977,48,7,Yes,93.62,40.0,Salary,194729.6,67.0,Research,Female,Married,2,17.0,Mailed Check,Yes,0,1.0,Yes,0,17.0,0,1,0,0
978,46,16,Yes,84.01,40.0,Salary,174740.8,59.0,Information Technology,Male,Married,1,15.0,Mailed Check,Yes,0,1.0,Yes,0,15.0,0,0,0,0
979,21,1,Yes,22.2,40.0,Salary,46176.0,87.0,Laboratory,Female,Single,3,0.0,Mailed Check,Yes,0,1.0,Yes,1,15.0,0,0,0,0
980,53,18,Yes,89.83,40.0,Salary,186846.4,81.0,Laboratory,Female,Single,5,0.0,Mailed Check,Unknown,1,,Missing,1,15.0,0,1,0,0
981,54,13,No,89.04,40.0,Salary,185203.2,250.0,Manufacturing,Male,Single,5,9.0,Direct Deposit,Unknown,1,,Missing,0,9.0,0,1,0,0
982,60,13,No,46.38,40.0,Salary,96470.4,52.0,Marketing,Female,Married,6,13.0,Mailed Check,Yes,0,1.0,Yes,0,13.0,0,0,0,0
983,54,5,No,34.23,40.0,Salary,71198.4,20.0,Sales,Female,Married,8,10.0,Mailed Check,Yes,0,1.0,Yes,0,10.0,0,1,0,0
984,39,3,No,85.45,40.0,Salary,177736.0,70.0,Research,Female,Single,2,0.0,Mailed Check,Unknown,1,,Missing,1,15.0,0,0,0,0
985,43,3,No,40.04,40.0,Salary,83283.2,250.0,Research,Female,Married,1,17.0,Mailed Check,Yes,0,1.0,Yes,0,17.0,0,0,0,0
986,48,9,No,32.99,40.0,Salary,68619.2,65.0,Research,Male,Married,7,15.0,Direct Deposit,Yes,0,1.0,Yes,0,15.0,0,1,0,0
987,30,3,No,30.11,40.0,Salary,62628.8,33.0,Research,Male,Single,3,12.0,Mailed Check,Yes,0,1.0,Yes,0,12.0,0,0,0,0
988,39,9,Yes,84.58,40.0,Salary,175926.4,87.0,Healthcare,Female,Married,1,16.0,Mailed Check,Yes,0,1.0,Yes,0,16.0,0,0,0,0
989,44,20,No,53.88,40.0,Salary,112070.4,85.0,Information Technology,Male,Married,1,16.0,Direct Deposit,Yes,0,1.0,Yes,0,16.0,0,0,0,0
990,44,6,Yes,42.73,40.0,Salary,88878.4,55.0,Manufacturing,Male,Single,1,7.0,Mailed Check,Yes,0,1.0,Yes,0,7.0,0,0,0,0
991,27,5,Yes,22.0,40.0,Salary,45760.0,49.0,Information Technology,Male,Married,2,7.0,Mailed Check,Yes,0,1.0,Yes,0,7.0,0,0,1,0
992,61,18,No,38.31,40.0,Salary,79684.8,52.0,Marketing,Male,Married,1,10.0,Mailed Check,Yes,0,1.0,Yes,0,10.0,0,0,0,0
993,56,16,No,68.27,40.0,Salary,142001.6,49.0,Information Technology,Female,Married,1,17.0,Direct Deposit,Yes,0,1.0,Yes,0,17.0,0,0,1,0
994,60,11,No,65.31,40.0,Salary,135844.8,53.0,Information Technology,Female,Divorced,4,0.0,Mailed Check,Yes,0,1.0,Yes,1,15.0,0,0,0,0
995,61,18,Yes,89.74,40.0,Salary,186659.2,36.0,Sales,Male,Single,4,6.0,Direct Deposit,Yes,0,1.0,Yes,0,6.0,0,1,0,0
996,46,18,No,32.49,40.0,Salary,67579.2,49.0,Sales,Female,Divorced,7,8.0,Mailed Check,Yes,0,1.0,Yes,0,8.0,0,0,1,0
997,46,10,Yes,87.8,40.0,Salary,182624.0,82.0,Human Resources,Male,Divorced,2,0.0,Mailed Check,No,0,0.0,No,1,15.0,0,1,0,0
998,44,6,Yes,35.9,40.0,Salary,74672.0,49.0,Laboratory,Female,Married,3,21.0,Direct Deposit,Yes,0,1.0,Yes,0,21.0,0,0,0,0
999,24,1,Yes,21.73,40.0,Salary,45198.4,35.0,Human Resources,Male,Single,1,8.0,Mailed Check,Yes,0,1.0,Yes,0,8.0,0,1,0,0
1000,54,12,Yes,80.07,40.0,Salary,166545.6,78.0,Healthcare,Male,Divorced,6,10.0,Mailed Check,Yes,0,1.0,Yes,0,10.0,0,0,0,0
1001,48,18,Yes,50.88,40.0,Salary,105830.4,64.0,Marketing,Female,Married,2,20.0,Mailed Check,Yes,0,1.0,Yes,0,20.0,0,0,0,0
1002,47,6,No,86.46,40.0,Salary,179836.8,9.0,Research,Female,Single,7,17.0,Mailed Check,Yes,0,1.0,Yes,0,17.0,0,0,0,0
1003,29,4,No,24.68,40.0,Salary,51334.4,7.0,Healthcare,Female,Married,3,13.0,Mailed Check,No,0,0.0,No,0,13.0,0,0,0,0
1004,45,13,No,37.81,40.0,Salary,78644.8,20.0,Human Resources,Male,Divorced,6,15.0,Mailed Check,Yes,0,1.0,Yes,0,15.0,0,0,0,0
1005,43,5,No,53.74,40.0,Salary,111779.2,49.0,Sales,Male,Married,5,9.0,Mailed Check,No,0,0.0,No,0,9.0,0,0,1,0
1006,42,9,No,34.13,40.0,Salary,70990.4,78.0,Marketing,Female,Married,9,17.0,Mailed Check,Yes,0,1.0,Yes,0,17.0,0,0,0,0
1007,32,8,Yes,23.64,40.0,Salary,49171.2,10.0,Sales,Female,Married,3,12.0,Mailed Check,Yes,0,1.0,Yes,0,12.0,0,0,0,0
1008,47,10,Yes,72.08,40.0,Salary,149926.4,46.0,Healthcare,Male,Divorced,6,7.0,Mailed Check,Yes,0,1.0,Yes,0,7.0,0,0,0,0
1009,48,20,Yes,85.48,40.0,Salary,177798.4,34.0,Healthcare,Female,Married,8,24.0,Mailed Check,Yes,0,1.0,Yes,0,24.0,0,0,0,0
1010,54,19,No,70.86,40.0,Salary,147388.8,250.0,Sales,Female,Married,1,10.0,Mailed Check,No,0,0.0,No,0,10.0,0,0,0,0
1011,34,8,Yes,29.83,40.0,Salary,62046.4,49.0,Healthcare,Female,Single,5,12.0,Mailed Check,Yes,0,1.0,Yes,0,12.0,0,0,1,0
1012,33,5,No,31.13,40.0,Salary,64750.4,16.0,Marketing,Female,Married,4,17.0,Mailed Check,No,0,0.0,No,0,17.0,0,0,0,0
1013,44,14,Yes,93.13,40.0,Salary,193710.4,49.0,Information Technology,Female,Single,3,0.0,Mailed Check,Yes,0,1.0,Yes,1,15.0,0,1,1,0
1014,54,8,No,34.87,40.0,Salary,72529.6,66.0,Sales,Female,Divorced,7,10.0,Mailed Check,Yes,0,1.0,Yes,0,10.0,0,0,0,0
1015,36,1,Yes,30.75,40.0,Salary,63960.0,45.0,Laboratory,Female,Divorced,4,23.0,Mailed Check,Yes,0,1.0,Yes,0,23.0,0,0,0,0
1016,40,9,Yes,31.73,40.0,Salary,65998.4,49.0,Marketing,Female,Single,4,0.0,Direct Deposit,No,0,0.0,No,1,15.0,1,1,1,0
1017,39,6,No,43.12,40.0,Salary,89689.6,33.0,Human Resources,Female,Single,6,23.0,Direct Deposit,No,0,0.0,No,0,23.0,0,0,0,0
1018,60,14,No,41.12,40.0,Salary,85529.6,61.0,Research,Female,Divorced,4,6.0,Mailed Check,Yes,0,1.0,Yes,0,6.0,0,0,0,0
1019,28,1,Yes,25.55,40.0,Salary,53144.0,32.0,Research,Female,Married,2,0.0,Mailed Check,Unknown,1,,Missing,1,15.0,0,0,0,0
1020,60,11,No,79.77,40.0,Salary,165921.6,76.0,Information Technology,Female,Single,6,0.0,Direct Deposit,Unknown,1,,Missing,1,15.0,0,0,0,0
1021,57,20,Yes,43.5,40.0,Salary,90480.0,34.0,Sales,Male,Married,3,0.0,Mailed Check,Yes,0,1.0,Yes,1,15.0,0,0,0,0
1022,46,9,No,33.15,40.0,Salary,68952.0,34.0,Marketing,Female,Divorced,4,15.0,Mailed Check,No,0,0.0,No,0,15.0,1,1,0,0
1023,38,8,Yes,57.39,40.0,Salary,119371.2,49.0,Marketing,Male,Married,1,17.0,Mailed Check,Yes,0,1.0,Yes,0,17.0,0,1,1,0
1024,46,17,No,41.89,40.0,Salary,87131.2,49.0,Information Technology,Female,Divorced,4,11.0,Mailed Check,Yes,0,1.0,Yes,0,11.0,0,0,1,0
1025,45,12,Yes,55.14,40.0,Salary,114691.2,49.0,Information Technology,Female,Married,4,0.0,Direct Deposit,Yes,0,1.0,Yes,1,15.0,1,0,1,0
1026,49,11,Yes,43.42,40.0,Salary,90313.6,64.0,Sales,Female,Married,7,24.0,Mailed Check,Yes,0,1.0,Yes,0,24.0,0,0,0,0
1027,60,9,No,78.07,40.0,Salary,162385.6,42.0,Sales,Female,Divorced,1,5.0,Mailed Check,Yes,0,1.0,Yes,0,5.0,0,0,0,0
1028,61,18,No,31.42,40.0,Salary,65353.6,36.0,Manufacturing,Female,Divorced,9,24.0,Mailed Check,Yes,0,1.0,Yes,0,24.0,0,0,0,0
1029,44,13,No,61.68,40.0,Salary,128294.4,33.0,Information Technology,Female,Divorced,3,18.0,Mailed Check,Yes,0,1.0,Yes,0,18.0,0,0,0,0
1030,37,1,Yes,67.28,40.0,Salary,139942.4,72.0,Healthcare,Female,Married,5,25.0,Mailed Check,Yes,0,1.0,Yes,0,25.0,0,0,0,0
1031,27,1,Yes,21.28,40.0,Salary,44262.4,34.0,Research,Male,Divorced,1,18.0,Mailed Check,No,0,0.0,No,0,18.0,0,0,0,0
1032,36,5,Yes,40.25,40.0,Salary,83720.0,54.0,Research,Male,Single,1,0.0,Mailed Check,Yes,0,1.0,Yes,1,15.0,0,0,0,0
1033,48,20,No,73.38,40.0,Salary,152630.4,66.0,Manufacturing,Female,Divorced,5,16.0,Mailed Check,Yes,0,1.0,Yes,0,16.0,0,0,0,0
1034,22,1,Yes,20.27,40.0,Salary,42161.6,49.0,Healthcare,Female,Single,2,17.0,Mailed Check,Yes,0,1.0,Yes,0,17.0,0,0,1,0
1035,30,8,Yes,30.64,40.0,Salary,63731.2,1.0,Marketing,Male,Married,1,0.0,Mailed Check,Yes,0,1.0,Yes,1,15.0,0,0,0,0
1036,38,7,Yes,82.98,40.0,Salary,172598.4,75.0,Information Technology,Female,Divorced,2,0.0,Mailed Check,Yes,0,1.0,Yes,1,15.0,0,0,0,0
1037,60,14,No,54.8,40.0,Salary,113984.0,62.0,Sales,Male,Divorced,7,21.0,Mailed Check,Yes,0,1.0,Yes,0,21.0,0,0,0,0
1038,40,6,No,29.91,40.0,Salary,62212.8,49.0,Sales,Male,Divorced,1,7.0,Mailed Check,Yes,0,1.0,Yes,0,7.0,0,0,1,0
1039,42,2,Yes,63.4,40.0,Salary,131872.0,52.0,Research,Female,Married,2,5.0,Mailed Check,Yes,0,1.0,Yes,0,5.0,0,1,0,0
1040,57,9,Yes,47.52,40.0,Salary,98841.6,50.0,Manufacturing,Male,Divorced,1,0.0,Direct Deposit,Yes,0,1.0,Yes,1,15.0,0,0,0,0
1041,45,13,Yes,71.75,40.0,Salary,149240.0,56.0,Information Technology,Female,Divorced,6,0.0,Direct Deposit,Yes,0,1.0,Yes,1,15.0,0,0,0,0
1042,45,6,No,45.45,40.0,Salary,94536.0,34.0,Manufacturing,Female,Divorced,9,19.0,Mailed Check,Yes,0,1.0,Yes,0,19.0,0,0,0,0
1043,60,16,No,96.99,40.0,Salary,201739.2,44.0,Laboratory,Female,Married,9,7.0,Direct Deposit,Yes,0,1.0,Yes,0,7.0,0,0,0,0
1044,28,2,No,23.28,40.0,Salary,48422.4,69.0,Information Technology,Male,Single,2,10.0,Mailed Check,Yes,0,1.0,Yes,0,10.0,0,1,0,0
1045,43,5,Yes,37.06,40.0,Salary,77084.8,83.0,Healthcare,Male,Married,1,0.0,Mailed Check,Yes,0,1.0,Yes,1,15.0,0,0,0,0
1046,56,9,Yes,92.54,40.0,Salary,192483.2,48.0,Sales,Prefer Not to Answer,Single,6,23.0,Mailed Check,No,0,0.0,No,0,23.0,0,1,0,0
1047,38,5,Yes,28.59,40.0,Salary,59467.2,60.0,Healthcare,Female,Divorced,2,22.0,Mailed Check,No,0,0.0,No,0,22.0,0,0,0,0
1048,54,12,Yes,52.42,40.0,Salary,109033.6,39.0,Marketing,Male,Divorced,8,25.0,Mailed Check,Yes,0,1.0,Yes,0,25.0,0,0,0,0
1049,29,6,Yes,24.8,40.0,Salary,51584.0,76.0,Marketing,Male,Married,2,0.0,Direct Deposit,No,0,0.0,No,1,15.0,0,0,0,0
1050,39,8,Yes,54.73,40.0,Salary,113838.4,22.0,Information Technology,Female,Single,1,24.0,Mailed Check,Yes,0,1.0,Yes,0,24.0,0,0,0,0
1051,38,1,Yes,95.52,40.0,Salary,198681.6,17.0,Sales,Female,Married,1,24.0,Direct Deposit,Yes,0,1.0,Yes,0,24.0,0,1,0,0
1052,60,15,No,78.44,40.0,Salary,163155.2,31.0,Research,Male,Single,4,14.0,Direct Deposit,No,0,0.0,No,0,14.0,1,0,0,0
1053,45,17,No,34.04,40.0,Salary,70803.2,49.0,Sales,Female,Divorced,8,5.0,Mailed Check,Yes,0,1.0,Yes,0,5.0,0,0,1,0
1054,44,12,No,32.39,40.0,Salary,67371.2,30.0,Healthcare,Female,Divorced,4,0.0,Mailed Check,Yes,0,1.0,Yes,1,15.0,0,0,0,0
1055,27,3,No,21.75,40.0,Salary,45240.0,49.0,Information Technology,Female,Single,2,24.0,Mailed Check,Yes,0,1.0,Yes,0,24.0,0,0,1,0
1056,53,14,No,83.77,40.0,Salary,174241.6,33.0,Sales,Female,Single,1,17.0,Direct Deposit,Yes,0,1.0,Yes,0,17.0,0,0,0,0
1057,60,15,No,80.97,40.0,Salary,168417.6,57.0,Manufacturing,Male,Married,4,9.0,Mailed Check,Yes,0,1.0,Yes,0,9.0,1,0,0,0
1058,37,6,No,33.77,40.0,Salary,70241.6,2.0,Manufacturing,Female,Married,6,25.0,Direct Deposit,No,0,0.0,No,0,25.0,0,0,0,0
1059,48,18,Yes,35.63,40.0,Salary,74110.4,77.0,Information Technology,Male,Married,4,9.0,Direct Deposit,Yes,0,1.0,Yes,0,9.0,1,0,0,0
1060,60,14,No,46.93,40.0,Salary,97614.4,49.0,Healthcare,Male,Married,8,21.0,Direct Deposit,No,0,0.0,No,0,21.0,0,0,1,0
1061,39,10,No,54.9,40.0,Salary,114192.0,43.0,Marketing,Male,Single,2,23.0,Mailed Check,Yes,0,1.0,Yes,0,23.0,0,1,0,0
1062,39,10,Yes,71.4,40.0,Salary,148512.0,40.0,Laboratory,Female,Married,2,0.0,Direct Deposit,Yes,0,1.0,Yes,1,15.0,0,0,0,0
1063,36,6,Yes,45.73,40.0,Salary,95118.4,52.0,Healthcare,Male,Single,4,8.0,Mailed Check,Yes,0,1.0,Yes,0,8.0,0,1,0,0
1064,55,19,Yes,94.11,40.0,Salary,195748.8,45.0,Research,Female,Single,4,25.0,Mailed Check,Yes,0,1.0,Yes,0,25.0,0,1,0,0
1065,54,9,No,34.83,40.0,Salary,72446.4,35.0,Research,Male,Divorced,6,22.0,Mailed Check,No,0,0.0,No,0,22.0,0,0,0,0
1066,61,12,Yes,81.8,40.0,Salary,170144.0,17.0,Laboratory,Male,Single,4,21.0,Mailed Check,Yes,0,1.0,Yes,0,21.0,1,0,0,0
1067,34,3,No,26.08,40.0,Salary,54246.4,54.0,Sales,Female,Single,5,12.0,Direct Deposit,No,0,0.0,No,0,12.0,0,0,0,0
1068,26,3,No,20.46,40.0,Salary,42556.8,22.0,Marketing,Male,Married,1,5.0,Mailed Check,Yes,0,1.0,Yes,0,5.0,0,0,0,0
1069,49,19,No,57.47,40.0,Salary,119537.6,49.0,Research,Female,Married,2,7.0,Mailed Check,Yes,0,1.0,Yes,0,7.0,0,1,1,0
1070,52,11,Yes,49.1,40.0,Salary,102128.0,33.0,Sales,Female,Single,8,5.0,Mailed Check,Yes,0,1.0,Yes,0,5.0,0,0,0,0
1071,37,9,No,33.47,40.0,Salary,69617.6,49.0,Marketing,Male,Married,3,19.0,Mailed Check,No,0,0.0,No,0,19.0,0,1,1,0
1072,55,16,Yes,36.31,40.0,Salary,75524.8,22.0,Manufacturing,Male,Divorced,9,19.0,Mailed Check,No,0,0.0,No,0,19.0,0,0,0,0
1073,36,8,Yes,27.84,40.0,Salary,57907.2,75.0,Human Resources,Female,Single,6,0.0,Mailed Check,Yes,0,1.0,Yes,1,15.0,0,0,0,0
1074,37,1,Yes,49.23,40.0,Salary,102398.4,70.0,Sales,Female,Divorced,6,6.0,Mailed Check,Yes,0,1.0,Yes,0,6.0,0,0,0,0
1075,38,10,No,28.78,40.0,Salary,59862.4,49.0,Human Resources,Female,Single,3,21.0,Mailed Check,Yes,0,1.0,Yes,0,21.0,0,1,1,0
1076,54,16,No,97.74,40.0,Salary,203299.2,16.0,Human Resources,Prefer Not to Answer,Divorced,6,20.0,Direct Deposit,Yes,0,1.0,Yes,0,20.0,0,0,0,0
1077,48,6,No,50.01,40.0,Salary,104020.8,78.0,Sales,Female,Divorced,4,0.0,Mailed Check,Yes,0,1.0,Yes,1,15.0,1,0,0,0
1078,61,11,No,42.05,40.0,Salary,87464.0,10.0,Sales,Male,Divorced,6,22.0,Mailed Check,Yes,0,1.0,Yes,0,22.0,0,0,0,0
1079,47,14,Yes,44.28,40.0,Salary,92102.4,87.0,Manufacturing,Female,Single,3,15.0,Direct Deposit,No,0,0.0,No,0,15.0,0,1,0,0
1080,61,9,Yes,74.53,40.0,Salary,155022.4,62.0,Sales,Female,Married,8,20.0,Direct Deposit,Yes,0,1.0,Yes,0,20.0,0,0,0,0
1081,48,19,No,31.76,40.0,Salary,66060.8,73.0,Healthcare,Male,Single,3,25.0,Mailed Check,Yes,0,1.0,Yes,0,25.0,0,0,0,0
1082,42,6,Yes,92.02,40.0,Salary,191401.6,27.0,Information Technology,Female,Single,1,0.0,Mailed Check,No,0,0.0,No,1,15.0,0,1,0,0
1083,53,20,No,79.0,40.0,Salary,164320.0,49.0,Sales,Female,Divorced,9,8.0,Mailed Check,Yes,0,1.0,Yes,0,8.0,0,0,1,0
1084,54,5,No,88.16,40.0,Salary,183372.8,1.0,Laboratory,Male,Divorced,6,22.0,Mailed Check,Yes,0,1.0,Yes,0,22.0,0,1,0,0
1085,43,8,Yes,46.27,40.0,Salary,96241.6,8.0,Research,Male,Single,6,0.0,Mailed Check,No,0,0.0,No,1,15.0,0,0,0,0
1086,57,19,No,89.61,40.0,Salary,186388.8,27.0,Human Resources,Female,Married,3,14.0,Mailed Check,Yes,0,1.0,Yes,0,14.0,0,1,0,0
1087,38,2,Yes,28.48,40.0,Salary,59238.4,26.0,Sales,Female,Divorced,4,0.0,Mailed Check,Yes,0,1.0,Yes,1,15.0,0,1,0,0
1088,48,15,No,88.88,40.0,Salary,184870.4,49.0,Laboratory,Male,Married,1,0.0,Mailed Check,Yes,0,1.0,Yes,1,15.0,0,1,1,0
1089,22,1,Yes,20.08,40.0,Salary,41766.4,30.0,Information Technology,Female,Single,1,20.0,Mailed Check,Yes,0,1.0,Yes,0,20.0,0,0,0,0
1090,33,8,Yes,28.53,40.0,Salary,59342.4,77.0,Human Resources,Male,Married,6,23.0,Mailed Check,No,0,0.0,No,0,23.0,0,1,0,0
1091,43,1,No,33.92,40.0,Salary,70553.6,23.0,Marketing,Female,Divorced,6,11.0,Mailed Check,No,0,0.0,No,0,11.0,0,1,0,0
1092,58,8,Yes,71.54,40.0,Salary,148803.2,26.0,Healthcare,Female,Single,4,12.0,Mailed Check,No,0,0.0,No,0,12.0,0,0,0,0
1093,43,10,No,81.65,40.0,Salary,169832.0,60.0,Healthcare,Male,Divorced,4,14.0,Mailed Check,Yes,0,1.0,Yes,0,14.0,1,0,0,0
1094,40,6,Yes,87.08,40.0,Salary,181126.4,49.0,Sales,Female,Single,7,14.0,Mailed Check,No,0,0.0,No,0,14.0,0,1,1,0
1095,40,1,Yes,75.73,40.0,Salary,157518.4,49.0,Manufacturing,Male,Divorced,3,17.0,Mailed Check,Yes,0,1.0,Yes,0,17.0,0,1,1,0
1096,47,20,Yes,67.32,40.0,Salary,140025.6,0.0,Healthcare,Male,Divorced,2,7.0,Mailed Check,Yes,0,1.0,Yes,0,7.0,0,0,0,0
